object_label,context,utterance,filename,topic,object_id,ref_type,plurality,recording_id,segment_id
the furniture,"The fertility statue shards rest on the flat, brown furniture.","Uh yeah, the brown one, it's i- l- it's looks {a} little bit flat in this furniture, because uh it's the same color of the furniture. But eve- but if you wish to actually change the color of the furniture, maybe the brown one, it would be a better choice.",hsi_7_0719_209_003_39_000_color.png,Fertility_Statue_Shards_1,Dresser_29dd319f,exact,single,hsi_7_0719_209_003,39
that lamp,The floor lamp stands near the TV.,"Well then I'll just have to turn that light off. Yeah, but that is a problem, of course, that lamp will have to be turned off when I watch TV.",hsi_4_0717_211_001_75_001_color.png,FloorLamp_75348c2c,FloorLamp_75348c2c,exact,single,hsi_4_0717_211_001,75
the couch,The couch is positioned in the living room.,"yeah i could agree on that so maybe if i just swap places with those two i take the bureau from there and put it there yeah yeah,  i can understand that because you don't want to sit like this and especially if you lie down on the couch you you want to have it lower so i can see that so thank you that's a great suggestion",hsi_5_0718_210_002_28_000_color.png,dresser,Sofa_b5cc7b35,exact,single,hsi_5_0718_210_002,28
balcony,The balcony is where the statues are being thrown off.,"Maybe some of these ugly [spn] some of the [spn] uglier statues that you're not gonna put here put them in the box, and then put the box, just, just  throw it off, throw it off, off, off your balcony.",hsi_6_0718_227_002_106_003_color.png,statue,Windows,exact,single,hsi_6_0718_227_002,106
this lamp,The lamp complements the sofas and stands as a symbol of recognition.,"Yes that one. [cough] And this one is eh... It it's also... it goes a bit with the sofas but it's a thing by itself and this is actually made by one of the greatest designers in the thirties, eh a German designer, a female designer who had to give all the credits to her husband because there y- you weren't supposed to be a designer in the thirties if you were if... Yes it's really sad but uh and luckily she actually got credit for her work in the end of the nineties. But she had to wait for sixty years to get acknowledged as one of the greatest designers in the world. So I really like this lamp. It's a symbol because I have eh a daughter and I have two granddaughters.",hsi_5_0718_222_002_66_000_color.png,Lamp,Lamp,exact,single,hsi_5_0718_222_002,66
the badminton rackets,The badminton rackets lie next to the book.,"ah same as Europe, America. And and that's, I I I I think you can see, I think I've actually managed to make something ehm of it. A- nd, you know, ehm, Also th- this book together with the badminton rackets. Eh, I, That's not placed there by accident. Eh It's actually one of the world's greatest eh badminton players, eh Sarah Nicholson.",hsi_5_0718_222_002_54_001_color.png,Tennis_Racquet_4,Tennis_Racquet_4,exact,single,hsi_5_0718_222_002,54
fauteuil,The armchair is next to the couch.,"So it is so nice that you came here and I just want to... I just have to brag of it. Ah, you see this couch and and the... What {do} you call this one in Swedish eh or in English, fåtölj?",hsi_5_0718_209_001_1_001_color.png,ArmChair_3e286e7a,armchair,exact,single,hsi_5_0718_209_001,1
The rug,The rug lies on the floor by the fireplace.,"The rug? Yeah, yeah, yeah. The rug.",hsi_6_0718_209_003_128_000_color.png,Rug,Rug,exact,single,hsi_6_0718_209_003,128
plants,Two large tropical plants are arranged diagonally in the room.,"just thought it was fun to put them that way. Like it's not, it's unconventional. And they're on a diagonal. So you get aware of the room space in that direction as well. And also I have my, big, small plant.",hsi_4_0717_210_001_16_000_color.png,TropicalPlantLarge (2),TropicalPlantLarge (2),exact,single,hsi_4_0717_210_001,16
the desk,The dresser would be turned to face the fireplace.,"Maybe. Oh, the the long. Bureau, I don't even know. I forgot the name of it... but this huge furniture. Uhm. Could maybe... I'm thinking but if yeah, cuz if we would put the couch and chair there facing the fireplace, the desk would be turned that way.",hsi_4_0717_209_003_28_003_color.png,dresser,desk,exact,single,hsi_4_0717_209_003,28
the armchair,The armchair sits by the desk.,"really expensive, but what do you do when you love something? Ah and that table there is actually from the fifties. Ah and his name, the designer's name, was Kristiansen. And unfortunately, actually, there are not... [spn] a lot of female designers that... that are famous. But if you look at the armchair over there by the desk, that's actually a female designer.",hsi_5_0718_209_001_11_000_color.png,Chair_204_2,Chair_204_2,exact,single,hsi_5_0718_209_001,11
that plant,The key chain is hidden in the plant.,"Keys, I mean, you should get like a jar for these or else you're going to lose them. like the The red one's your house key. Yeah, yeah, ye, I mean, just what I do is I hide them in places. So like maybe that plant there or that plant, I would just hide them like just just throw them in, you know, and then you know, it's like they're not even there.",hsi_6_0718_211_002_50_001_color.png,key chain,HousePlant_0db093fe,exact,single,hsi_6_0718_211_002,50
